experiment,dataset,model,condition,metric,numerator,denominator,value,unit,ci95_low,ci95_high,evidence_status,source_file,notes
PairAcc / identifiability,v3,GLM-5.1,Lifecycle-gated:changed_winner_core,preserve_accuracy,32,32,100.0,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,GLM-5.1,Lifecycle-gated:changed_winner_core,reevaluate_accuracy,32,32,100.0,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,GLM-5.1,Lifecycle-gated:changed_winner_core,pairacc,32,32,100.0,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,GLM-5.1,Lifecycle-gated:stable_control,preserve_accuracy,16,16,100.0,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,GLM-5.1,Lifecycle-gated:stable_control,reevaluate_accuracy,16,16,100.0,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,GLM-5.1,Lifecycle-gated:stable_control,pairacc,16,16,100.0,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,GLM-5.1,Lifecycle-gated:invalidity_policy,preserve_accuracy,32,32,100.0,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,GLM-5.1,Lifecycle-gated:invalidity_policy,reevaluate_accuracy,32,32,100.0,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,GLM-5.1,Lifecycle-gated:invalidity_policy,pairacc,32,32,100.0,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,model-independent,Always-Lock+validity:all,preserve_accuracy,80,80,100.0,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,model-independent,Always-Lock+validity:all,reevaluate_accuracy,16,80,20.0,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,model-independent,Always-Lock+validity:all,pairacc,16,80,20.0,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,model-independent,Always-Lock+validity:changed_winner_core,preserve_accuracy,32,32,100.0,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,model-independent,Always-Lock+validity:changed_winner_core,reevaluate_accuracy,0,32,0.0,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,model-independent,Always-Lock+validity:changed_winner_core,pairacc,0,32,0.0,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,model-independent,Always-Lock+validity:stable_control,preserve_accuracy,16,16,100.0,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,model-independent,Always-Lock+validity:stable_control,reevaluate_accuracy,16,16,100.0,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,model-independent,Always-Lock+validity:stable_control,pairacc,16,16,100.0,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,model-independent,Always-Lock+validity:invalidity_policy,preserve_accuracy,32,32,100.0,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,model-independent,Always-Lock+validity:invalidity_policy,reevaluate_accuracy,0,32,0.0,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,model-independent,Always-Lock+validity:invalidity_policy,pairacc,0,32,0.0,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,model-independent,Always-Reevaluate:all,preserve_accuracy,16,80,20.0,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,model-independent,Always-Reevaluate:all,reevaluate_accuracy,80,80,100.0,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,model-independent,Always-Reevaluate:all,pairacc,16,80,20.0,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,model-independent,Always-Reevaluate:changed_winner_core,preserve_accuracy,0,32,0.0,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,model-independent,Always-Reevaluate:changed_winner_core,reevaluate_accuracy,32,32,100.0,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,model-independent,Always-Reevaluate:changed_winner_core,pairacc,0,32,0.0,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,model-independent,Always-Reevaluate:stable_control,preserve_accuracy,16,16,100.0,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,model-independent,Always-Reevaluate:stable_control,reevaluate_accuracy,16,16,100.0,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,model-independent,Always-Reevaluate:stable_control,pairacc,16,16,100.0,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,model-independent,Always-Reevaluate:invalidity_policy,preserve_accuracy,0,32,0.0,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,model-independent,Always-Reevaluate:invalidity_policy,reevaluate_accuracy,32,32,100.0,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,model-independent,Always-Reevaluate:invalidity_policy,pairacc,0,32,0.0,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,model-independent,Rule v2 (post-hoc):all,preserve_accuracy,74,80,92.5,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,model-independent,Rule v2 (post-hoc):all,reevaluate_accuracy,74,80,92.5,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,model-independent,Rule v2 (post-hoc):all,pairacc,68,80,85.0,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,model-independent,Rule v2 (post-hoc):changed_winner_core,preserve_accuracy,30,32,93.75,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
